"id","name","iconUrl","status","databaseUrl"
"13461","Greater Arcane Protection Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_83.png","ok","https://database.turtlecraft.gg/?item=13461"
"13510","Flask of the Titans","https://database.turtlecraft.gg/images/icons/large/inv_potion_62.png","ok","https://database.turtlecraft.gg/?item=13510"
"13511","Flask of Distilled Wisdom","https://database.turtlecraft.gg/images/icons/large/inv_potion_120.png","ok","https://database.turtlecraft.gg/?item=13511"
"13512","Flask of Supreme Power","https://database.turtlecraft.gg/images/icons/large/inv_potion_41.png","ok","https://database.turtlecraft.gg/?item=13512"
"13513","Flask of Chromatic Resistance","https://database.turtlecraft.gg/images/icons/large/inv_potion_128.png","ok","https://database.turtlecraft.gg/?item=13513"
"13813","Blessed Sunfruit Juice","https://database.turtlecraft.gg/images/icons/large/inv_drink_16.png","ok","https://database.turtlecraft.gg/?item=13813"
"13928","Grilled Squid","https://database.turtlecraft.gg/images/icons/large/inv_misc_fish_37.png","ok","https://database.turtlecraft.gg/?item=13928"
"13931","Nightfin Soup","https://database.turtlecraft.gg/images/icons/large/inv_drink_22.png","ok","https://database.turtlecraft.gg/?item=13931"
"14530","Heavy Runecloth Bandage","https://database.turtlecraft.gg/images/icons/large/inv_misc_bandage_12.png","ok","https://database.turtlecraft.gg/?item=14530"
"15723","Tea with Sugar","https://database.turtlecraft.gg/images/icons/large/inv_drink_15.png","ok","https://database.turtlecraft.gg/?item=15723"
"18253","Major Rejuvenation Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_47.png","ok","https://database.turtlecraft.gg/?item=18253"
"18254","Runn Tum Tuber Surprise","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_63.png","ok","https://database.turtlecraft.gg/?item=18254"
"18262","Elemental Sharpening Stone","https://database.turtlecraft.gg/images/icons/large/inv_stone_02.png","ok","https://database.turtlecraft.gg/?item=18262"
"18641","Dense Dynamite","https://database.turtlecraft.gg/images/icons/large/inv_misc_bomb_06.png","ok","https://database.turtlecraft.gg/?item=18641"
"20007","Mageblood Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_45.png","ok","https://database.turtlecraft.gg/?item=20007"
"20008","Living Action Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_07.png","ok","https://database.turtlecraft.gg/?item=20008"
"20079","Spirit of Zanza","https://database.turtlecraft.gg/images/icons/large/inv_potion_30.png","ok","https://database.turtlecraft.gg/?item=20079"
"20452","Smoked Desert Dumpling","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_64.png","ok","https://database.turtlecraft.gg/?item=20452"
"20520","Dark Rune","https://database.turtlecraft.gg/images/icons/large/spell_shadow_sealofkings.png","ok","https://database.turtlecraft.gg/?item=20520"
"20748","Brilliant Mana Oil","https://database.turtlecraft.gg/images/icons/large/inv_potion_100.png","ok","https://database.turtlecraft.gg/?item=20748"
"20749","Brilliant Wizard Oil","https://database.turtlecraft.gg/images/icons/large/inv_potion_105.png","ok","https://database.turtlecraft.gg/?item=20749"
"21151","Rumsey Rum Black Label","https://database.turtlecraft.gg/images/icons/large/inv_drink_04.png","ok","https://database.turtlecraft.gg/?item=21151"
"21546","Elixir of Greater Firepower","https://database.turtlecraft.gg/images/icons/large/inv_potion_60.png","ok","https://database.turtlecraft.gg/?item=21546"
"22682","Frozen Rune","https://database.turtlecraft.gg/images/icons/large/inv_misc_rune_09.png","ok","https://database.turtlecraft.gg/?item=22682"
"23122","Consecrated Sharpening Stone","https://database.turtlecraft.gg/images/icons/large/inv_stone_sharpeningstone_02.png","ok","https://database.turtlecraft.gg/?item=23122"
"23123","Blessed Wizard Oil","https://database.turtlecraft.gg/images/icons/large/inv_potion_138.png","ok","https://database.turtlecraft.gg/?item=23123"
"3387","Limited Invulnerability Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_121.png","ok","https://database.turtlecraft.gg/?item=3387"
"3825","Elixir of Fortitude","https://database.turtlecraft.gg/images/icons/large/inv_potion_43.png","ok","https://database.turtlecraft.gg/?item=3825"
"42014","Blackroot Brew","https://database.turtlecraft.gg/images/icons/large/inv_drink_33.png","ok","https://database.turtlecraft.gg/?item=42014"
"42017","Sapta of Harmony","https://database.turtlecraft.gg/images/icons/large/inv_potion_13.png","ok","https://database.turtlecraft.gg/?item=42017"
"42018","Sapta of Communion","https://database.turtlecraft.gg/images/icons/large/inv_potion_12.png","ok","https://database.turtlecraft.gg/?item=42018"
"42019","Sapta of Tranquility","https://database.turtlecraft.gg/images/icons/large/inv_potion_11.png","ok","https://database.turtlecraft.gg/?item=42019"
"42020","Sapta of Kinship","https://database.turtlecraft.gg/images/icons/large/inv_potion_125.png","ok","https://database.turtlecraft.gg/?item=42020"
"42021","Sapta of Resilience","https://database.turtlecraft.gg/images/icons/large/inv_potion_19.png","ok","https://database.turtlecraft.gg/?item=42021"
"50237","Elixir of Greater Nature Power","https://database.turtlecraft.gg/images/icons/large/inv_potion_106.png","ok","https://database.turtlecraft.gg/?item=50237"
"51717","Hardened Mushroom","https://database.turtlecraft.gg/images/icons/large/inv_mushroom_15.png","ok","https://database.turtlecraft.gg/?item=51717"
"53015","Gurubashi Gumbo","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_101.png","ok","https://database.turtlecraft.gg/?item=53015"
"55046","Elixir of Greater Frost Power","https://database.turtlecraft.gg/images/icons/large/inv_potion_13.png","ok","https://database.turtlecraft.gg/?item=55046"
"55048","Elixir of Greater Arcane Power","https://database.turtlecraft.gg/images/icons/large/inv_potion_81.png","ok","https://database.turtlecraft.gg/?item=55048"
"5634","Free Action Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_04.png","ok","https://database.turtlecraft.gg/?item=5634"
"60976","Danonzo's Tel'Abim Surprise","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_92.png","ok","https://database.turtlecraft.gg/?item=60976"
"60977","Danonzo's Tel'Abim Delight","https://database.turtlecraft.gg/images/icons/large/inv_drink_21.png","ok","https://database.turtlecraft.gg/?item=60977"
"60978","Danonzo's Tel'Abim Medley","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_73.png","ok","https://database.turtlecraft.gg/?item=60978"
"61174","Medivh's Merlot","https://database.turtlecraft.gg/images/icons/large/inv_drink_waterskin_05.png","ok","https://database.turtlecraft.gg/?item=61174"
"61175","Medivh's Merlot Blue","https://database.turtlecraft.gg/images/icons/large/inv_drink_waterskin_01.png","ok","https://database.turtlecraft.gg/?item=61175"
"61181","Potion of Quickness","https://database.turtlecraft.gg/images/icons/large/inv_potion_08.png","ok","https://database.turtlecraft.gg/?item=61181"
"61224","Dreamshard Elixir","https://database.turtlecraft.gg/images/icons/large/inv_potion_113.png","ok","https://database.turtlecraft.gg/?item=61224"
"61423","Dreamtonic","https://database.turtlecraft.gg/images/icons/large/inv_potion_114.png","ok","https://database.turtlecraft.gg/?item=61423"
"61675","Nordanaar Herbal Tea","https://database.turtlecraft.gg/images/icons/large/inv_drink_waterskin_03.png","ok","https://database.turtlecraft.gg/?item=61675"
"7676","Thistle Tea","https://database.turtlecraft.gg/images/icons/large/inv_drink_milk_05.png","ok","https://database.turtlecraft.gg/?item=7676"
"83309","Empowering Herbal Salad","https://database.turtlecraft.gg/images/icons/large/inv_misc_food_salad.png","ok","https://database.turtlecraft.gg/?item=83309"
"84040","Le Fishe Au Chocolat","https://database.turtlecraft.gg/images/icons/large/inv_misc_fishe_au_chocolate.png","ok","https://database.turtlecraft.gg/?item=84040"
"8410","R.O.I.D.S.","https://database.turtlecraft.gg/images/icons/large/inv_stone_15.png","ok","https://database.turtlecraft.gg/?item=8410"
"8412","Ground Scorpok Assay","https://database.turtlecraft.gg/images/icons/large/inv_misc_dust_07.png","ok","https://database.turtlecraft.gg/?item=8412"
"8423","Cerebral Cortex Compound","https://database.turtlecraft.gg/images/icons/large/inv_potion_119.png","ok","https://database.turtlecraft.gg/?item=8423"
"9036","Magic Resistance Potion","https://database.turtlecraft.gg/images/icons/large/inv_potion_16.png","ok","https://database.turtlecraft.gg/?item=9036"
"9088","Gift of Arthas","https://database.turtlecraft.gg/images/icons/large/inv_potion_28.png","ok","https://database.turtlecraft.gg/?item=9088"
"9206","Elixir of Giants","https://database.turtlecraft.gg/images/icons/large/inv_potion_61.png","ok","https://database.turtlecraft.gg/?item=9206"
"9264","Elixir of Shadow Power","https://database.turtlecraft.gg/images/icons/large/inv_potion_46.png","ok","https://database.turtlecraft.gg/?item=9264"
